Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
22.0,-1.2163193225860596,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
28.0,-1.2163193225860596,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
34.0,-1.2163193225860596,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
37.0,-1.2163193225860596,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
56.0,-0.7329614162445068,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
64.0,-0.7329614162445068,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
65.0,-0.7329614162445068,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
67.0,-0.7329614162445068,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
53.0,-1.253366231918335,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
65.0,-1.253366231918335,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
67.0,-1.253366231918335,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
68.0,-1.253366231918335,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
22.0,-1.0769879817962646,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
28.0,-1.0769879817962646,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
28.0,-1.0769879817962646,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
39.0,-1.0769879817962646,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
45.0,-1.0900444984436035,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
59.0,-1.0900444984436035,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
62.0,-1.0900444984436035,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
63.0,-1.0900444984436035,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,-1.0098421573638916,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
64.0,-1.0098421573638916,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
67.0,-1.0098421573638916,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
68.0,-1.0098421573638916,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
13.0,-0.963303804397583,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
17.0,-0.963303804397583,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
24.0,-0.963303804397583,30,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
37.0,-0.963303804397583,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
24.0,-1.4024734497070312,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
66.0,-1.4024734497070312,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
67.0,-1.4024734497070312,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
74.0,-1.4024734497070312,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
34.0,-1.0701065063476562,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
62.0,-1.0701065063476562,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
70.0,-1.0701065063476562,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
70.0,-1.0701065063476562,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
19.0,-0.9478883743286133,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
35.0,-0.9478883743286133,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
34.0,-0.9478883743286133,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
32.0,-0.9478883743286133,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
37.0,-0.00023674964904785156,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
61.0,-0.00023674964904785156,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
