Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
94.0,-0.35623764991760254,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
94.0,-0.35623764991760254,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
96.0,-0.35623764991760254,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
79.0,-0.35170483589172363,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
84.0,-0.35170483589172363,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,-0.35170483589172363,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,-0.35170483589172363,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
80.0,-0.4350414276123047,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
87.0,-0.4350414276123047,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
88.0,-0.4350414276123047,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
91.0,-0.4350414276123047,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
74.0,-0.45088624954223633,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
92.0,-0.45088624954223633,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
97.0,-0.45088624954223633,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
97.0,-0.45088624954223633,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
83.0,-0.4196598529815674,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
95.0,-0.4196598529815674,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
96.0,-0.4196598529815674,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
96.0,-0.4196598529815674,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
86.0,-0.0262601375579834,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
93.0,-0.0262601375579834,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
95.0,-0.0262601375579834,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
97.0,-0.0262601375579834,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
82.0,-0.02569270133972168,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
97.0,-0.02569270133972168,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
98.0,-0.02569270133972168,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
96.0,-0.02569270133972168,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
91.0,-0.025232553482055664,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
93.0,-0.025232553482055664,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
83.0,-0.025232553482055664,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.0,-0.025232553482055664,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
79.0,-0.02611064910888672,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
98.0,-0.02611064910888672,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
99.0,-0.02611064910888672,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
99.0,-0.02611064910888672,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
81.0,-0.023414134979248047,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
96.0,-0.023414134979248047,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
96.0,-0.023414134979248047,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
