Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
91.2,-0.09790291786193847,2.6583202716502488,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
95.6,-0.09510846138000488,1.3498971154211103,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
98.6,-0.08417448997497559,0.8432740427115686,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
97.7,-0.08705337047576904,0.8232726023485665,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
94.3,-0.0818328857421875,1.0593499054713802,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
96.5,-0.0757131576538086,1.178511301977576,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
93.2,-0.07302277088165283,1.4757295747452461,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.0,-0.09681894779205322,0.0,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
83.0,-0.07469055652618409,0.0,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
80.4,-0.07819514274597168,1.2649110640673515,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.0,-0.0791170835494995,0.0,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
95.7,-0.07042517662048339,0.4830458915396506,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
92.7,-0.07671678066253662,0.8232726023485627,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
95.8,-0.09409987926483154,1.1352924243950888,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
97.4,-0.11700732707977295,1.3498971154211052,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
96.6,-0.09351952075958252,1.7763883459298966,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
91.4,-0.00012362003326416016,3.373096170846273,25,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
91.8,-0.00015823841094970704,3.910100879630714,25,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
90.4,-0.00016193389892578126,2.756809750418039,25,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
95.3,-0.012909674644470214,1.059349905471379,25,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
98.2,-0.01168825626373291,0.9189365834726815,25,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
96.8,-0.057276010513305664,1.5491933384829644,25,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
96.0,-1.2448604345321654,0.0,25,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
98.0,-1.2969930648803711,0.0,25,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
96.0,-1.3274606466293335,0.0,25,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.0,-1.2086919784545898,0.0,25,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
81.0,-1.1065772771835327,0.0,25,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.0,-1.2082328796386719,0.0,25,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.0,-0.5034895896911621,0.0,25,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
97.0,-0.4931330680847168,0.0,25,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
95.0,-0.5206626653671265,0.0,25,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
95.2,-6.476305294036865,1.932183566158592,25,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
98.6,-6.458662629127502,0.6992058987801002,25,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
97.0,-6.491834568977356,1.5634719199411442,25,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
92.9,-0.0854412317276001,2.5144029554194818,25,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
